welfare_regime,Female,Male,abs_gap
Conservative,4.427902129368635,5.1049115585461,0.6770094291774642
Mediterranean,4.555055241131106,5.183424941046832,0.6283696999157264
Post-Socialist,5.3528158248125,5.847341158364565,0.4945253335520654
Social Democratic,4.4024442401970445,5.0243058512376235,0.621861611040579
