welfare_regime,delta_f,delta_m,GDC
Conservative,0.06576162144008185,-0.05042023758313752,11.618185902321937
Mediterranean,0.010096062779055615,-0.0440771349862259,5.417319776528151
Post-Socialist,0.07007653479973736,-0.0310908567112107,10.116739151094805
Social Democratic,0.0843885682049422,0.041517906437483876,4.2870661767458325
